id_fornecedor,nome_fornecedor,contato_fornecedor,email_fornecedor,telefone_fornecedor
1,Nascimento,Srta. Ester Andrade,diasbenjamim@example.com,11 7107 5469
2,Carvalho Vargas S.A.,Diego Monteiro,macedoenzo@example.org,(031) 4127-3200
3,Machado,Nicolas Viana,vazevedo@example.org,+55 11 6405 1536
4,Pacheco,Dra. Sarah Lopes,macedomaria-clara@example.org,21 3394 0966
5,Barros,Dr. André Pimenta,bporto@example.org,(031) 1943-8089
6,Casa Grande,Heitor da Mota,andre73@example.net,+55 84 2894 3478
7,Pires Cardoso - EI,Jade Cassiano,maitesilva@example.net,(041) 5173 2092
8,Borges Rios - EI,Dra. Ísis Guerra,bda-costa@example.org,(031) 1493 3468
9,Duarte,Vitor Gabriel Novais,maitedas-neves@example.org,+55 81 2065 9622
10,da Conceição Vieira e Filhos,João Lucas Fernandes,daviabreu@example.org,+55 (071) 9081-2485
